provider,page,wave_type_label,query_group_label,query
serpapi,9,Evidence Core,Evidence Core: BDD,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""BDD"" ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: Python | pytest,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Python"" OR ""pytest"") ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: Selenium | Playwright | Cypress,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Selenium"" OR ""Playwright"" OR ""Cypress"") ""ukraine"""
serpapi,9,Evidence Core,Evidence Core: automation framework | test automation,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automation framework"" OR ""test automation"") ""ukraine"""
serper,9,Evidence Core,Evidence Core: Python,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""Python"" ""ukraine"""
serper,9,Evidence Core,Evidence Core: automotive | embedded | ADAS,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
serper,9,Evidence Core,Evidence Core: CAN,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""CAN"" ""ukraine"""
serper,9,Evidence Core,Evidence Core: Git | logs | virtual environments,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,9,Evidence Core,Evidence Core: BDD,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""BDD"" ""ukraine"""
serper,9,Evidence Core,Evidence Core: Python | pytest,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Python"" OR ""pytest"") ""ukraine"""
serper,9,Evidence Core,Evidence Core: Selenium | Playwright | Cypress,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Selenium"" OR ""Playwright"" OR ""Cypress"") ""ukraine"""
serper,9,Evidence Core,Evidence Core: automation framework | test automation,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automation framework"" OR ""test automation"") ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: Python,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""Python"" ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: automotive | embedded | ADAS,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: CAN,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""CAN"" ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: Git | logs | virtual environments,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: BDD,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""BDD"" ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: Python | pytest,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Python"" OR ""pytest"") ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: Selenium | Playwright | Cypress,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Selenium"" OR ""Playwright"" OR ""Cypress"") ""ukraine"""
bing_serpapi,10,Evidence Core,Evidence Core: automation framework | test automation,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automation framework"" OR ""test automation"") ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: Python,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""Python"" ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: automotive | embedded | ADAS,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: CAN,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""CAN"" ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: Git | logs | virtual environments,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: BDD,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""BDD"" ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: Python | pytest,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Python"" OR ""pytest"") ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: Selenium | Playwright | Cypress,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Selenium"" OR ""Playwright"" OR ""Cypress"") ""ukraine"""
serpapi,10,Evidence Core,Evidence Core: automation framework | test automation,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automation framework"" OR ""test automation"") ""ukraine"""
serper,10,Evidence Core,Evidence Core: Python,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""Python"" ""ukraine"""
serper,10,Evidence Core,Evidence Core: automotive | embedded | ADAS,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
serper,10,Evidence Core,Evidence Core: CAN,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""CAN"" ""ukraine"""
serper,10,Evidence Core,Evidence Core: Git | logs | virtual environments,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,10,Evidence Core,Evidence Core: BDD,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") ""BDD"" ""ukraine"""
serper,10,Evidence Core,Evidence Core: Python | pytest,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Python"" OR ""pytest"") ""ukraine"""
serper,10,Evidence Core,Evidence Core: Selenium | Playwright | Cypress,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""Selenium"" OR ""Playwright"" OR ""Cypress"") ""ukraine"""
serper,10,Evidence Core,Evidence Core: automation framework | test automation,"site:linkedin.com/in/ ""Automation"" (""Engineer"" OR ""QA"" OR ""Tester"" OR ""Test Engineer"" OR ""SDET"") (""automation framework"" OR ""test automation"") ""ukraine"""
tavily,1,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
tavily,1,Title Focus,Title Focus: automotive | embedded | ADAS,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""automotive"" OR ""embedded"" OR ""ADAS"") ""ukraine"""
tavily,1,Title Focus,Title Focus: Python | pytest,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Python"" OR ""pytest"") ""ukraine"""
serper,1,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,2,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,3,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,4,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,5,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,6,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,7,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,8,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,9,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serper,10,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,1,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,2,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,3,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,4,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,5,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,6,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,7,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,8,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,9,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
serpapi,10,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,1,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,2,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,3,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,4,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
bing_serpapi,5,Title Focus,Title Focus: Git | logs | virtual environments,"site:linkedin.com/in/ (""QA Hybrid Test Engineer"" OR ""Test Automation Engineer"" OR ""Automation QA Engineer"" OR ""Python Test Engineer"") (""Git"" OR ""logs"" OR ""virtual environments"") ""ukraine"""
